"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"			"HORDE MODE"
		"DOTA_GameMode_15" "HORDE MODE"

		"horde_introduction_line_01"															"Welcome to "
		"horde_introduction_line_02"															"Dota Horde Mode v1.20!"
		"horde_introduction_line_03"															"The difficulty mode is "

		"VictoryMessage_BadGuys"    "YOU WERE OVERCOME BY THE HORDE"
		"VictoryMessage_GoodGuys"   "YOU HAVE DEFEATED THE HORDE"
		
		//Units
		"dota_fountain_good"        "Cowardly Fountain"
		"npc_dota_hoard_tower"        "Tower"
		"npc_dota_mega_tower"        "Mega Tower"
		"npc_dota_hoard_tower_easy"        "Mega Tower"
		"npc_dota_hoard_tower_super"        "Base Tower"
		
		"npc_dota_creature_money"             "Toll Master"
		"npc_dota_creature_friend"            "Radiant Defender"
		"npc_dota_creature_friend_base" 		"Radiant Base Defender"
		"npc_dota_creature_map_boss"			"Rapier Ogre"
			
		"npc_dota_creature_gnoll_assassin"        "Gnoll"
		"npc_dota_creature_bazz"        "Berserker"
		"npc_dota_creature_kobold_ripper"        "Ripper"
		"npc_dota_creature_kobold_guard"        "Kobold Guard"
		"npc_dota_creature_kobold_guard_easy"        "Kobold Guard"
		"npc_dota_creature_minion"					"Minion"
		"npc_dota_creature_troll_healer"        "Troll Healer"
		"npc_dota_creature_beast"         "Wild Beast"
		
		"npc_dota_creature_cool_spiders"        "Spider"
		"npc_dota_creature_mini_spiders"        "Arachnids"
		"npc_dota_medium_spiders"        "Brood Warrior"
		"npc_dota_big_spiders"        "Brood Overseer"
		
		"npc_dota_creature_basic_zombie"        "Undead"
		"npc_dota_creature_berserk_zombie"        "Crawler"
		"npc_dota_creature_corpselord"        "Walker"
		"npc_dota_creature_zombie2"        "Zombie"
		
		"npc_dota_creature_hulk"        "Mech"
		"npc_dota_creature_hulk_medium"    "Ancient Mech"
		"npc_dota_creature_hulk_big"        "Giant Mech"
		"npc_dota_creature_kappapult"        "War Machine"

		"npc_dota_creature_roshan_boss"        "Roshan"
		"npc_dota_roshan_mob"        "Roshan"
		
		"npc_dota_creature_kobold_guard_boss"        "Ripper Sharpshooter"
		"npc_dota_creature_kobold_guard_boss_easy"        "Ripper Sharpshooter"
		
		"npc_dota_creature_ogre_melee"        "Ogre"
		"npc_dota_creature_ogre"        "Frost Ogre"
		"npc_dota_creature_ogre_boss"        "Ogre Tank"
		
		"npc_dota_creature_bird"          "Shrike"
		"npc_dota_creature_satyr"        "Satyr Caster"
		"npc_dota_creature_medium_satyr"        "Satyr Warrior"
		"npc_dota_creature_big_satyr"        "Satyr Commander"
		
		"npc_dota_creature_spooki"        "Spooky Scary Skellington"
		"npc_dota_creature_drake"        "Drake"
		"npc_dota_creature_fuck_you"        "Biggest Spookiest Meme"
		"npc_dota_creature_fuck_you_easy"        "Biggest Spookiest Meme"
		
		"npc_dota_creature_king_treant"        "Tree King"
		"npc_dota_creature_king_treant_easy"        "Tree King"
		"npc_dota_creature_forest_prophet"        "Baumi Prophet"
		"npc_dota_creature_treant"        "Tree"
		"npc_dota_creature_thing"        "Fungal Sprite"
		"npc_dota_creature_shroom"        "Shroom"
		"npc_dota_creature_stump"        "Old Stumpy"
		"npc_dota_creature_fang"        "Dendrochron"
	
		"npc_dota_creature_chicken"				"Suicide Chicken"
		"npc_dota_creature_small_spirit_bear"        "Bear"
		"npc_dota_creature_large_spirit_bear"        "Attack Bear"
		"npc_dota_creature_big_bear"        "Daddy Bear"

     	"npc_dota_splitter_medium"        "Golem"
     	"npc_dota_splitter_large"        "Large Golem"
		"npc_dota_splitter_baby"     "Mud Baby"
		"npc_dota_rock_golem"			"Rock Golem"
		"npc_dota_ghost_meele"        "Spirit"
		"npc_dota_creature_big_ghost"        "Soul Collector"
		"npc_dota_creature_big_ghost_easy"        "Soul Collector"
		"npc_dota_ghost_meele_small"        "Ghost"
		"npc_dota_ghost"        "Geist"
 
		"npc_dota_creature_hound"        "Hound"
		"npc_dota_wolf_fang"        "Wolf"
		"npc_dota_creature_rabid"        "Puppey"
		"npc_dota_creature_pack_leader"        "Pack Leader"
		"npc_dota_creature_great_hound"        "Great Hound"
		"npc_dota_creature_disco_pony"			"The Disco Pony"

		"npc_dota_hellbear"        "Tomato"
		
		"npc_dota_creature_tiny_boss"        "Giant Golem"
		
		"npc_dota_hell_demon"        "Demon"
		"npc_dota_gargoyle"				"Gargoyle"
		"npc_dota_demon"        "Hell Spawn"
		"npc_dota_demon_dog"        "Hell Hound"
		"npc_dota_mini_demon"        "Pit Rippers"
		
		"npc_dota_creature_mini_roshan"				"Baby Roshan"
		"npc_dota_creature_lesser_nightcrawler"		"Night Crawler"
		"npc_dota_ghost_bane"				"Ghost Bane"
		
		"npc_dota_dragon"        "Black Dragon"
		"npc_dota_stalker"        "Stalker"
		"npc_dota_creature_big_bird"		"Heavy Shrike"	
    
		"npc_dota_nyx"        "Scorpion"
		"npc_dota_centaur_boss"   "Centaur Chieftain"
		"npc_dota_centaur"        "Centaur"
		"npc_dota_creature_drake_boss"			"Great Harpy"
		"npc_dota_creature_big_nyx"        "Nerubian"
		
		"npc_dota_creature_ancient_apparition"		"Ice Cream"
		"npc_dota_lizard"		"Dino"
		
		"npc_dota_pugna_ward_hoard1"		"Nether Turret"
		"npc_dota_pugna_ward_hoard2"		"Nether Turret"
		"npc_dota_pugna_ward_hoard3"		"Nether Turret"
		"npc_dota_pugna_ward_hoard4"		"Nether Turret"

		"witch_doctor_death_ward_datadriven"    "Death Ward"
		
        //abilities
		"DOTA_Tooltip_ability_sven_storm_bolt_datadriven"							"Light Hammer"
		"DOTA_Tooltip_ability_sven_storm_bolt_datadriven_Description"				"A slow moving projectile than stuns targets in an AOE"

		"DOTA_Tooltip_ability_phantom_assassin_swiftness"							"Swiftness"
		"DOTA_Tooltip_ability_phantom_assassin_swiftness_Description"				"Grants Phantom Assassin passive bonus attack speed"
		"DOTA_Tooltip_ability_phantom_assassin_swiftness_bonus_attack_speed"				"ATTACK SPEED:"
		
		"DOTA_Tooltip_ability_holdout_mirana_arrow"							"Piercing Arrow"
		"DOTA_Tooltip_ability_holdout_mirana_arrow_Description"				"Fires a long range arrow that damages all targets it passes through."
		"DOTA_Tooltip_ability_holdout_mirana_arrow_damage"				"DAMAGE:"

		"DOTA_Tooltip_ability_rubick_amp_field"						"Spell Amplification"
		"DOTA_Tooltip_ability_rubick_amp_field_Description"			"Rubick helps his team master their spells, increasing their spell resistance and spell damage."
		"DOTA_Tooltip_ability_rubick_amp_field_null_amount"			"%SPELL RESISTANCE:"
		"DOTA_Tooltip_ability_rubick_amp_field_amp_amount"			"%SPELL AMP:"

		"DOTA_Tooltip_ability_death_prophet_silence_datadriven"	"Silence"
        "DOTA_Tooltip_ability_death_prophet_silence_datadriven_Description"		"Prevents enemy units in a target area from casting spells and reduces their attack damage."
        "DOTA_Tooltip_ability_death_prophet_silence_datadriven_radius"						"RADIUS:"
        "DOTA_Tooltip_ability_death_prophet_silence_datadriven_duration"		"DURATION:"
        "DOTA_Tooltip_ability_death_prophet_silence_datadriven_negative_damage_pct"		"DAMAGE REDUCTION:"

		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven"					"Creep Seeking Missiles"
		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven_Description"					"Launches rockets at the nearest visible enemies 2500 range.\n\nUpgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven_targets"					"TARGETS:"
		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven_targets_scepter"					"SCEPTER TARGETS:"
		"DOTA_Tooltip_ability_tinker_heat_seeking_missile_datadriven_aghanim_description"							"Doubles the number of targets."

		"DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven"								"Wraithfire Blast"
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_Description"					"Wraith King sears enemy units with spectral fire, dealing damage and stunning, then dealing damage over time and slowing the targets."
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_Lore"						"Ostarion calls on his damned lineage, laying waste to his opponents."
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_Note0"						"Deals 110 / 200 / 290 / 400 total damage."
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_blast_stun_duration"			"STUN DURATION:"
        "DOTA_Tooltip_ability_skeleton_king_hellfire_blast_datadriven_tooltip_slow_duration"		"SLOW DURATION:"
